PlayerID,Name,Team,Position,Age,Played,Started,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,FantasyPoints
13741,Brandon Bolden,LV,RB,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,66.0,3.9,0.0,9.0,9.0,57.0,6.3,1.0,18.3
16041,Jimmy Garoppolo,LV,QB,30.0,11.0,10.0,207.0,308.0,2437.0,16.0,4.0,23.0,33.0,1.4,2.0,0.0,0.0,0.0,0.0,0.0,164.78
16470,Davante Adams,LV,WR,29.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,-0.3,0.0,180.0,100.0,1516.0,15.2,14.0,235.5
16815,Ameer Abdullah,LV,RB,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,5.0,0.0,32.0,25.0,211.0,8.4,1.0,29.1
17218,DeAndre Carter,LV,WR,29.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,-15.0,-7.5,0.0,65.0,46.0,538.0,11.7,3.0,66.3
17963,Austin Hooper,LV,TE,27.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,41.0,444.0,10.8,2.0,56.4
18957,D'Onta Foreman,CHI,RB,26.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,203.0,914.0,4.5,5.0,9.0,5.0,26.0,5.2,0.0,126.0
19029,Nathan Peterman,CHI,QB,28.0,3.0,1.0,14.0,25.0,139.0,1.0,1.0,2.0,7.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,8.26
19064,Trent Taylor,CHI,WR,28.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,3.8,0.0,10.0,6.0,62.0,10.3,0.0,5.7
19514,Keelan Cole Sr.,LV,WR,29.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,141.0,14.1,1.0,20.1
19491,Robert Tonyan,CHI,TE,28.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,53.0,470.0,8.9,2.0,59.0
19844,DJ Moore,CHI,WR,25.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,10.0,53.0,5.3,0.0,118.0,63.0,888.0,14.1,7.0,136.1
20398,Equanimeous St. Brown,CHI,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,54.0,9.0,0.0,38.0,21.0,323.0,15.4,1.0,43.7
20874,Trace McSorley,CHI,QB,27.0,6.0,1.0,45.0,83.0,412.0,0.0,5.0,15.0,61.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,8.58
20824,Josh Jacobs,LV,RB,24.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,340.0,1653.0,4.9,12.0,64.0,53.0,400.0,7.5,0.0,275.3
20810,Travis Homer,CHI,RB,24.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,74.0,3.9,0.0,18.0,16.0,157.0,9.8,1.0,27.1
20812,Jesper Horsted,LV,TE,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,19.0,6.3,0.0,1.9
20876,Jakobi Meyers,LV,WR,25.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,-11.0,-5.5,0.0,96.0,67.0,804.0,12.0,6.0,113.3
20924,Hunter Renfrow,LV,WR,26.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,36.0,330.0,9.2,2.0,43.0
21295,Nsimba Webster,CHI,WR,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,14.0,7.0,0.0,1.4
21796,Noah Togiai,LV,TE,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21772,Cole Kmet,CHI,TE,23.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,0.0,69.0,50.0,544.0,10.9,7.0,97.3
21845,Darrynton Evans,CHI,RB,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,4.6,0.0,1.0,1.0,33.0,33.0,0.0,9.7
21961,Darnell Mooney,CHI,WR,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,61.0,40.0,493.0,12.3,2.0,61.5
22492,Justin Fields,CHI,QB,23.0,15.0,15.0,192.0,318.0,2242.0,17.0,11.0,160.0,1143.0,7.1,8.0,0.0,0.0,0.0,0.0,0.0,295.98
22563,Khalil Herbert,CHI,RB,24.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,129.0,731.0,5.7,4.0,12.0,9.0,57.0,6.3,1.0,108.8
22539,Zamir White,LV,RB,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,70.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0
22644,DJ Turner,LV,WR,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,2.6
23481,Velus Jones Jr.,CHI,WR,25.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,103.0,11.4,1.0,14.0,7.0,107.0,15.3,1.0,27.0
23632,Brittain Brown,LV,RB,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23838,Daylen Baldwin,CLE,WR,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,25.0,12.5,0.0,2.5
23490,Jelani Woods,IND,TE,24.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,312.0,12.5,3.0,49.2
23468,Michael Woods II,CLE,WR,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,10.0,5.0,45.0,9.0,0.0,4.0
23341,Tyler Goodson,IND,RB,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23232,Alec Pierce,IND,WR,22.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,41.0,593.0,14.5,2.0,71.3
23218,Pierre Strong Jr.,CLE,RB,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,10.0,1.0,7.0,7.0,42.0,6.0,0.0,20.2
23205,Jerome Ford,CLE,RB,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2
23148,David Bell,CLE,WR,21.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,214.0,8.9,0.0,21.4
22823,Kylen Granson,IND,TE,24.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,31.0,302.0,9.7,0.0,30.2
22674,Deon Jackson,CLE,RB,23.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,236.0,3.5,1.0,34.0,30.0,209.0,7.0,1.0,54.5
22592,Elijah Moore,CLE,WR,22.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,65.0,37.0,446.0,12.1,1.0,51.1
22596,Jaelon Darden,CLE,WR,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,26.0,13.0,0.0,2.8
22575,Amari Rodgers,IND,WR,23.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.5,0.0,25.0,16.0,204.0,12.8,1.0,23.1
21817,Kellen Mond,IND,QB,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21815,Sam Ehlinger,IND,QB,24.0,4.0,3.0,64.0,101.0,573.0,3.0,3.0,17.0,87.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,35.62
21801,Trey Sermon,IND,RB,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9
21771,Devin Asiasi,CLE,TE,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.5,0.0,0.5
21783,Harrison Bryant,CLE,TE,24.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,42.0,31.0,239.0,7.7,1.0,30.7
21784,Zack Moss,IND,RB,24.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,93.0,456.0,4.9,1.0,13.0,11.0,39.0,3.5,0.0,53.5
21737,Tyrie Cleveland,IND,WR,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,28.0,14.0,0.0,2.8
21744,Michael Pittman Jr.,IND,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,10.0,0.0,141.0,99.0,925.0,9.3,4.0,117.5
21759,KJ Hamler,IND,WR,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,0.0,14.0,7.0,165.0,23.6,0.0,18.8
21754,Donovan Peoples-Jones,CLE,WR,23.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,96.0,61.0,839.0,13.8,3.0,100.1
21682,Jonathan Taylor,IND,RB,23.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,192.0,861.0,4.5,4.0,40.0,28.0,143.0,5.1,0.0,118.4
21349,Ashton Dulin,IND,WR,25.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,22.0,15.0,207.0,13.8,1.0,27.5
21115,Juwann Winfree,IND,WR,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,17.0,17.0,0.0,1.7
20880,Gardner Minshew,IND,QB,26.0,5.0,2.0,44.0,76.0,663.0,3.0,3.0,7.0,3.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,36.82
19903,Jordan Akins,CLE,TE,30.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,37.0,495.0,13.4,5.0,79.5
19798,Nick Chubb,CLE,RB,26.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,302.0,1525.0,5.0,12.0,37.0,27.0,239.0,8.9,1.0,254.4
19191,P.J. Walker,CLE,QB,27.0,6.0,5.0,63.0,106.0,731.0,3.0,3.0,6.0,39.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,39.14
19043,Isaiah McKenzie,IND,WR,27.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,6.1,1.0,65.0,42.0,423.0,10.1,4.0,77.8
18944,Kareem Hunt,CLE,RB,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,468.0,3.8,3.0,44.0,35.0,210.0,6.0,1.0,91.8
18876,David Njoku,CLE,TE,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,-8.0,-4.0,0.0,80.0,58.0,628.0,10.8,4.0,84.0
18857,Deshaun Watson,CLE,QB,27.0,6.0,6.0,99.0,170.0,1102.0,7.0,5.0,36.0,175.0,4.9,1.0,0.0,0.0,0.0,0.0,0.0,85.58
18900,Mo Alie-Cox,IND,TE,29.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,189.0,9.9,3.0,34.9
16765,Amari Cooper,CLE,WR,28.0,17.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,132.0,78.0,1160.0,14.9,9.0,168.0
14865,Marquise Goodwin,CLE,WR,31.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5,0.0,42.0,27.0,387.0,14.3,4.0,63.2
7651,Matthew Slater,NE,WR,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15071,Latavius Murray,BUF,RB,32.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,171.0,760.0,4.4,6.0,35.0,27.0,132.0,4.9,0.0,127.2
